SKU,Product Name,Category,Regular Price,Sale Price,Stock,Image URL
TRV-PC-001,Pearl Grace Shoulder Bag,Cross Body,1400,1200,4,https://raw.githubusercontent.com/SmartLiving25/trevo-by-fatima/main/images/Gemini_Generated_Image_yd44sqyd44sqyd44%20%281%29.png
TRV-ST-001,Trevo Aura Structured Satchel,Luxury Collection,5800,4600,2,https://raw.githubusercontent.com/SmartLiving25/trevo-by-fatima/main/images/WhatsApp%20Image%202026-07-13%20at%2010.42.52%20PM.jpeg
TRV-WL-001,Trevo Cloe Multi-Compartment Wallet,Luxury Collection,4700,3700,3,https://raw.githubusercontent.com/SmartLiving25/trevo-by-fatima/main/images/WhatsApp%20Image%202026-07-13%20at%2010.32.44%20PM.jpeg
TRV-TT-001,Trevo Executive Office Tote,Tote Bags,3000,2500,2,https://raw.githubusercontent.com/SmartLiving25/trevo-by-fatima/main/images/Gemini_Generated_Image_fqxdxifqxdxifqxd.png
TRV-PB-001,Trevo Forever Young Phone Wallet,Cross Body,2000,1500,3,https://raw.githubusercontent.com/SmartLiving25/trevo-by-fatima/main/images/WhatsApp%20Image%202026-07-13%20at%2010.33.06%20PM.jpeg
TRV-PT-001,Trevo Heritage Printed Tote,Tote Bags,1400,1200,4,https://raw.githubusercontent.com/SmartLiving25/trevo-by-fatima/main/images/Gemini_Generated_Image_a5wgm3a5wgm3a5wg.png
TRV-RD-001,Trevo Mandala Round Art Bag,Cross Body,2000,1700,3,https://raw.githubusercontent.com/SmartLiving25/trevo-by-fatima/main/images/Gemini_Generated_Image_rw5t4rw5t4rw5t4r.png
TRV-RG-001,Trevo Marble Ring Handle Bag,Box Bag,1400,1200,4,https://raw.githubusercontent.com/SmartLiving25/trevo-by-fatima/main/images/Gemini_Generated_Image_8k3y198k3y198k3y.png
TRV-CW-001,Trevo Monochrome Cow Print Tote,Tote Bags,3000,2500,2,https://raw.githubusercontent.com/SmartLiving25/trevo-by-fatima/main/images/Gemini_Generated_Image_6k2zs46k2zs46k2z.png
TRV-HJ-001,Trevo Noor Mini Handbag,Cross Body,1200,1400,0,https://raw.githubusercontent.com/SmartLiving25/trevo-by-fatima/main/images/Gemini_Generated_Image_td0mxktd0mxktd0m.png
TRV-DT-001,Trevo Pastel Premium Tote,Box Bag,2600,2200,2,https://raw.githubusercontent.com/SmartLiving25/trevo-by-fatima/main/images/Gemini_Generated_Image_qz0oddqz0oddqz0o.png
